State,Ages < 20,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70-74,Ages 75-79,Ages 80-84,Ages 85+
Alabama,85,"5,922","14,654","20,559","21,839","27,795","32,464","38,791","41,572","42,347","56,024","37,832","28,289","25,010","20,435"
Alaska,31,"1,551","4,747","5,845","5,315","5,751","6,731","7,778","7,869","8,197","7,847","5,114","3,162","1,922","1,536"
Arizona,124,"5,512","16,462","23,653","24,621","29,090","34,455","40,851","45,495","49,603","81,752","57,114","46,186","40,731","36,557"
Arkansas,61,"4,490","9,675","12,530","12,929","15,979","18,467","21,156","23,059","25,012","33,201","23,009","18,957","17,413","13,337"
California,622,"25,549","70,613","95,893","92,641","97,125","114,250","139,115","161,698","172,807","270,345","185,704","147,794","135,235","142,079"
Colorado,73,"4,634","14,780","21,846","22,808","28,465","33,341","37,236","39,799","41,293","58,915","37,307","27,347","23,527","21,900"
Connecticut,59,"2,392","6,069","8,072","8,774","10,145","12,455","16,856","18,088","16,679","33,221","24,195","17,532","17,242","21,643"
Delaware,16,834,"2,188","3,228","3,351","4,021","5,531","7,586","7,576","7,000","10,610","8,215","6,267","6,154","5,522"
District of Columbia,9,314,871,"1,639","1,892","1,715","1,970","2,690","3,349","3,091","3,136","2,742","1,919","2,249","2,241"
Florida,304,"13,616","41,050","62,891","68,377","84,231","103,368","135,519","145,224","135,209","216,820","169,631","143,071","130,135","134,250"
Georgia,184,"10,858","28,415","38,579","42,902","55,617","67,418","78,103","78,536","70,000","100,206","67,141","45,440","37,085","32,399"
Hawaii,54,"2,398","6,748","8,724","7,660","7,453","8,566","10,015","10,284","11,734","16,513","9,509","7,179","6,481","7,689"
Idaho,53,"2,311","5,181","6,526","6,537","7,823","9,690","10,796","11,070","14,126","20,492","12,851","9,428","8,185","7,326"
Illinois,261,"9,821","23,807","34,531","34,384","41,656","50,731","56,259","57,206","65,347","111,894","73,045","53,506","52,956","56,171"
Indiana,135,"7,328","16,830","21,272","20,897","28,791","36,838","45,271","45,407","46,557","68,783","42,749","33,326","30,518","31,581"
Iowa,37,"4,013","8,361","10,809","10,756","12,418","16,600","18,544","18,009","23,025","36,153","19,860","17,096","17,997","17,977"
Kansas,48,"3,432","9,380","12,196","11,910","13,931","15,759","17,555","18,662","22,445","31,752","19,510","14,431","14,015","16,181"
Kentucky,75,"4,669","11,721","15,419","16,561","21,305","25,761","30,220","30,482","32,441","51,128","29,825","21,557","20,727","18,708"
Louisiana,108,"5,623","12,749","20,618","20,839","24,036","26,063","23,469","26,997","33,518","47,700","28,356","21,922","19,693","18,455"
Maine,33,"1,395","3,437","4,592","5,368","6,904","8,653","11,785","12,536","12,536","19,854","12,571","9,361","9,121","9,086"
Maryland,113,"4,768","13,569","22,311","25,234","29,624","36,076","45,588","44,934","40,470","57,092","37,617","27,643","25,467","27,257"
Massachusetts,95,"3,887","10,396","14,102","14,583","17,858","22,260","30,845","32,274","32,287","58,995","40,200","32,797","32,212","36,981"
Michigan,123,"6,268","16,517","22,280","23,287","34,658","46,735","56,729","57,735","67,068","110,769","67,451","49,422","47,801","51,626"
